sample,role,read1,read2
A_control,input,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_01/01.RawData/A_control/A_control_MKDL250001060-1A_22LK2KLT4_L4_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_01/01.RawData/A_control/A_control_MKDL250001060-1A_22LK2KLT4_L4_2.fq.gz
A_12_20,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_20/A_12_20_MKDL250001039-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_20/A_12_20_MKDL250001039-1A_22LK2KLT4_L1_2.fq.gz
A_12_21,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_21/A_12_21_MKDL250001040-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_21/A_12_21_MKDL250001040-1A_22LK2KLT4_L1_2.fq.gz
A_12_22,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_22/A_12_22_MKDL250001041-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_22/A_12_22_MKDL250001041-1A_22LK2KLT4_L1_2.fq.gz
A_12_23,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_23/A_12_23_MKDL250001042-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_23/A_12_23_MKDL250001042-1A_22LK2KLT4_L3_2.fq.gz
A_12_24,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_24/A_12_24_MKDL250001043-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_24/A_12_24_MKDL250001043-1A_22LK2KLT4_L1_2.fq.gz
A_12_3,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_3/A_12_3_MKDL250001022-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_3/A_12_3_MKDL250001022-1A_22LK2KLT4_L1_2.fq.gz
A_12_4,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_4/A_12_4_MKDL250001023-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_4/A_12_4_MKDL250001023-1A_22LK2KLT4_L1_2.fq.gz
A_12_5,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_5/A_12_5_MKDL250001024-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_5/A_12_5_MKDL250001024-1A_22LK2KLT4_L1_2.fq.gz
A_12_6,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_6/A_12_6_MKDL250001025-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_6/A_12_6_MKDL250001025-1A_22LK2KLT4_L3_2.fq.gz
A_12_7,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_7/A_12_7_MKDL250001026-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_7/A_12_7_MKDL250001026-1A_22LK2KLT4_L3_2.fq.gz
A_12_8,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_8/A_12_8_MKDL250001027-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_8/A_12_8_MKDL250001027-1A_22LK2KLT4_L3_2.fq.gz
A_12_9,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_9/A_12_9_MKDL250001028-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_12_9/A_12_9_MKDL250001028-1A_22LK2KLT4_L3_2.fq.gz
A_13_1,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_1/A_13_1_MKDL250001044-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_1/A_13_1_MKDL250001044-1A_22LK2KLT4_L2_2.fq.gz
A_13_10,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_10/A_13_10_MKDL250001053-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_10/A_13_10_MKDL250001053-1A_22LK2KLT4_L1_2.fq.gz
A_13_11,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_11/A_13_11_MKDL250001054-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_11/A_13_11_MKDL250001054-1A_22LK2KLT4_L2_2.fq.gz
A_13_12,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_12/A_13_12_MKDL250001055-1A_22LK2KLT4_L4_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_02/01.RawData/A_13_12/A_13_12_MKDL250001055-1A_22LK2KLT4_L4_2.fq.gz
A_13_13,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_13/A_13_13_MKDL250001056-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_13/A_13_13_MKDL250001056-1A_22LK2KLT4_L1_2.fq.gz
A_13_14,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_14/A_13_14_MKDL250001057-1A_22LK2KLT4_L4_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_14/A_13_14_MKDL250001057-1A_22LK2KLT4_L4_2.fq.gz
A_13_15,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_15/A_13_15_MKDL250001058-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_15/A_13_15_MKDL250001058-1A_22LK2KLT4_L1_2.fq.gz
A_13_16,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_16/A_13_16_MKDL250001059-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_16/A_13_16_MKDL250001059-1A_22LK2KLT4_L2_2.fq.gz
